Data:X,Data:Y,Source:X,Source:Y
12.01547,4.297994E-03,384.5,422.25
16.96562,0.7134671,544.5,463.5
21.95445,3.202006,705.75,608.25
27.03609,6.25788,870,786
31.99398,8.389685,1030.25,910
36.96734,9.876791,1191,996.5
41.90203,10.51719,1350.5,1033.75
46.84445,11.5788,1510.25,1095.5
51.9725,12.58453,1676,1154
56.99226,13.15616,1838.25,1187.25
